year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2015,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2020,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2025,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2030,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2035,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2040,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2045,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2050,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2055,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2060,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2065,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2070,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2075,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2080,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2085,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2090,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2095,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
2100,1.88,1.88,1.88,75,79.7,75,79.7,75,79.7,0.779,105,105,105,14807.58744,13784.49316
