year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2015,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2020,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2025,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2030,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2035,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2040,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2045,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2050,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2055,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2060,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2065,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2070,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2075,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2080,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2085,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2090,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2095,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
2100,1.75,1.75,1.75,77,81.2,77,81.2,77,81.2,0.81,105,105,105,7705.83133,7173.415635
