year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2015,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2020,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2025,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2030,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2035,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2040,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2045,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2050,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2055,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2060,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2065,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2070,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2075,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2080,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2085,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2090,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2095,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
2100,2,2,2,76.8,81.7,76.8,81.7,76.8,81.7,0.898,105,105,105,13119.27465,12212.83024
