year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2015,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2020,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2025,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2030,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2035,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2040,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2045,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2050,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2055,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2060,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2065,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2070,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2075,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2080,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2085,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2090,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2095,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
2100,1.85,1.85,1.85,77.5,82,77.5,82,77.5,82,0.947,105,105,105,11952.4285,11126.60449
