region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
IA,840-19,0,,,,
IA,840-19,1,,,,
IA,840-19,2,,,,
IA,840-19,3,,,,
IA,840-19,4,,,,
IA,840-19,5,,,,
IA,840-19,6,,,,
IA,840-19,7,,,,
IA,840-19,8,,,,
IA,840-19,9,,,,
IA,840-19,10,,,,
IA,840-19,11,,,,
IA,840-19,12,,,,
IA,840-19,13,,,,
IA,840-19,14,,,,
IA,840-19,15,,,,
IA,840-19,16,,,,
IA,840-19,17,,,,
IA,840-19,18,,,,
IA,840-19,19,,,,
IA,840-19,20,,,,
IA,840-19,21,,,,
IA,840-19,22,,,,
IA,840-19,23,,,,
IA,840-19,24,,,,
IA,840-19,25,,,,
IA,840-19,26,,,,
IA,840-19,27,,,,
IA,840-19,28,,,,
IA,840-19,29,,,,
IA,840-19,30,,,,
IA,840-19,31,,,,
IA,840-19,32,,,,
IA,840-19,33,,,,
IA,840-19,34,,,,
IA,840-19,35,,,,
IA,840-19,36,,,,
IA,840-19,37,,,,
IA,840-19,38,,,,
IA,840-19,39,,,,
IA,840-19,40,,,,
IA,840-19,41,,,,
IA,840-19,42,,,,
IA,840-19,43,,,,
IA,840-19,44,,,,
IA,840-19,45,,,,
IA,840-19,46,,,,
IA,840-19,47,,,,
IA,840-19,48,,,,
IA,840-19,49,,,,
IA,840-19,50,,,,
IA,840-19,51,,,,
IA,840-19,52,,,,
IA,840-19,53,,,,
IA,840-19,54,,,,
IA,840-19,55,,,,
IA,840-19,56,,,,
IA,840-19,57,,,,
IA,840-19,58,,,,
IA,840-19,59,,,,
IA,840-19,60,,,,
IA,840-19,61,,,,
IA,840-19,62,,,,
IA,840-19,63,,,,
IA,840-19,64,,,,
IA,840-19,65,,,,
IA,840-19,66,,,,
IA,840-19,67,,,,
IA,840-19,68,,,,
IA,840-19,69,,,,
IA,840-19,70,,,,
IA,840-19,71,,,,
IA,840-19,72,,,,
IA,840-19,73,,,,
IA,840-19,74,,,,
IA,840-19,75,,,,
IA,840-19,76,,,,
IA,840-19,77,,,,
IA,840-19,78,,,,
IA,840-19,79,,,,
IA,840-19,80,,,,
IA,840-19,81,,,,
IA,840-19,82,,,,
IA,840-19,83,,,,
IA,840-19,84,,,,
IA,840-19,85,,,,
IA,840-19,86,,,,
IA,840-19,87,,,,
IA,840-19,88,,,,
IA,840-19,89,,,,
IA,840-19,90,,,,
IA,840-19,91,,,,
IA,840-19,92,,,,
IA,840-19,93,,,,
IA,840-19,94,,,,
IA,840-19,95,,,,
IA,840-19,96,,,,
IA,840-19,97,,,,
IA,840-19,98,,,,
IA,840-19,99,,,,
IA,840-19,100,,,,
