year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2015,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2020,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2025,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2030,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2035,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2040,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2045,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2050,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2055,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2060,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2065,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2070,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2075,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2080,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2085,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2090,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2095,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
2100,1.93,1.93,1.93,72.4,77.8,72.4,77.8,72.4,77.8,0.59,105,105,105,6704.202333,6240.99176
