year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2015,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2020,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2025,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2030,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2035,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2040,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2045,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2050,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2055,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2060,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2065,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2070,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2075,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2080,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2085,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2090,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2095,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
2100,2.27,2.27,2.27,75.8,80.1,75.8,80.1,75.8,80.1,0.66,105,105,105,2336.27382,2174.854657
