region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
MO,840-29,0,,,,
MO,840-29,1,,,,
MO,840-29,2,,,,
MO,840-29,3,,,,
MO,840-29,4,,,,
MO,840-29,5,,,,
MO,840-29,6,,,,
MO,840-29,7,,,,
MO,840-29,8,,,,
MO,840-29,9,,,,
MO,840-29,10,,,,
MO,840-29,11,,,,
MO,840-29,12,,,,
MO,840-29,13,,,,
MO,840-29,14,,,,
MO,840-29,15,,,,
MO,840-29,16,,,,
MO,840-29,17,,,,
MO,840-29,18,,,,
MO,840-29,19,,,,
MO,840-29,20,,,,
MO,840-29,21,,,,
MO,840-29,22,,,,
MO,840-29,23,,,,
MO,840-29,24,,,,
MO,840-29,25,,,,
MO,840-29,26,,,,
MO,840-29,27,,,,
MO,840-29,28,,,,
MO,840-29,29,,,,
MO,840-29,30,,,,
MO,840-29,31,,,,
MO,840-29,32,,,,
MO,840-29,33,,,,
MO,840-29,34,,,,
MO,840-29,35,,,,
MO,840-29,36,,,,
MO,840-29,37,,,,
MO,840-29,38,,,,
MO,840-29,39,,,,
MO,840-29,40,,,,
MO,840-29,41,,,,
MO,840-29,42,,,,
MO,840-29,43,,,,
MO,840-29,44,,,,
MO,840-29,45,,,,
MO,840-29,46,,,,
MO,840-29,47,,,,
MO,840-29,48,,,,
MO,840-29,49,,,,
MO,840-29,50,,,,
MO,840-29,51,,,,
MO,840-29,52,,,,
MO,840-29,53,,,,
MO,840-29,54,,,,
MO,840-29,55,,,,
MO,840-29,56,,,,
MO,840-29,57,,,,
MO,840-29,58,,,,
MO,840-29,59,,,,
MO,840-29,60,,,,
MO,840-29,61,,,,
MO,840-29,62,,,,
MO,840-29,63,,,,
MO,840-29,64,,,,
MO,840-29,65,,,,
MO,840-29,66,,,,
MO,840-29,67,,,,
MO,840-29,68,,,,
MO,840-29,69,,,,
MO,840-29,70,,,,
MO,840-29,71,,,,
MO,840-29,72,,,,
MO,840-29,73,,,,
MO,840-29,74,,,,
MO,840-29,75,,,,
MO,840-29,76,,,,
MO,840-29,77,,,,
MO,840-29,78,,,,
MO,840-29,79,,,,
MO,840-29,80,,,,
MO,840-29,81,,,,
MO,840-29,82,,,,
MO,840-29,83,,,,
MO,840-29,84,,,,
MO,840-29,85,,,,
MO,840-29,86,,,,
MO,840-29,87,,,,
MO,840-29,88,,,,
MO,840-29,89,,,,
MO,840-29,90,,,,
MO,840-29,91,,,,
MO,840-29,92,,,,
MO,840-29,93,,,,
MO,840-29,94,,,,
MO,840-29,95,,,,
MO,840-29,96,,,,
MO,840-29,97,,,,
MO,840-29,98,,,,
MO,840-29,99,,,,
MO,840-29,100,,,,
