year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2015,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2020,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2025,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2030,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2035,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2040,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2045,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2050,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2055,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2060,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2065,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2070,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2075,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2080,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2085,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2090,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2095,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
2100,1.91,1.91,1.91,75.8,80.2,75.8,80.2,75.8,80.2,0.648,105,105,105,831.2488068,773.81569
