year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2015,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2020,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2025,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2030,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2035,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2040,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2045,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2050,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2055,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2060,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2065,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2070,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2075,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2080,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2085,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2090,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2095,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
2100,1.89,1.89,1.89,76.3,80.7,76.3,80.7,76.3,80.7,0.755,105,105,105,21078.09474,19621.755
