year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2015,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2020,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2025,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2030,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2035,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2040,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2045,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2050,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2055,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2060,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2065,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2070,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2075,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2080,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2085,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2090,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2095,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
2100,1.52,1.52,1.52,73.7,79.1,73.7,79.1,73.7,79.1,1,105,105,105,3149.452001,2931.848266
