year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2015,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2020,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2025,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2030,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2035,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2040,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2045,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2050,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2055,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2060,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2065,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2070,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2075,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2080,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2085,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2090,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2095,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
2100,1.9,1.9,1.9,77.6,81.7,77.6,81.7,77.6,81.7,0.86,105,105,105,11727.83643,10917.53006
